Latitude,Longitude,Altitude,Vertical Speed,MTE_Value,RA
  34.045886,-117.757931, 5550, 2880,  34.045886, RA: Level Off
  34.045374,-117.758331, 5600, 2880,  34.045374, RA: Level Off
  34.044388,-117.759088, 5625, 2880,  34.044388, RA: Level Off
  34.043326,-117.759819, 5675, 2880,  34.043326, RA: Level Off
  34.042236,-117.760601, 5700, 2176,  34.042236, RA: Level Off
  34.041733,-117.760938, 5725, 2176,  34.041733, RA: Level Off
  34.041138,-117.761307, 5725, 2176,  34.041138, RA: Level Off
  34.039993,-117.762003, 5750, 2176,  34.039993, RA: Level Off
  34.039444,-117.762283, 5750, 2176,  34.039444, RA: Level Off
  34.039124,-117.762507, 5775,  320,  34.039124, RA: Level Off
  34.039124,-117.762507, 5775,  320,  34.039124, RA: Level Off
  34.037972,-117.763138, 5775,  128,  34.037972, RA: Level Off
  34.036789,-117.763796, 5775, -128,  34.036789, RA: Level Off
  34.036377,-117.764021, 5775, -128,  34.036377, RA: Level Off
  34.035645,-117.764397, 5775, -128,  34.035645, RA: Level Off
  34.034760,-117.764854, 5750, -128,  34.034760, RA: Level Off
  34.033317,-117.765541, 5750, -128,  34.033317, RA: Level Off
  34.032669,-117.765814, 5750, -128,  34.032669, RA: Level Off
  34.031455,-117.766342, 5725, -128,  34.031455, RA: Level Off
  34.030989,-117.766514, 5725, -704,  34.030989, RA: Level Off
  34.029694,-117.766991, 5725, -704,  34.029694, RA: Level Off
  34.028615,-117.767372, 5725, -704,  34.028615, Clear of Conflict
  34.023010,-117.768841, 5675, -576,  34.023010, Clear of Conflict
  34.015503,-117.769065, 5700,  320,  34.015503, Clear of Conflict
  34.008877,-117.767658, 5775, 1152,  34.008877, Clear of Conflict
           ,           ,     ,     ,           , Clear of Conflict
  32.298981,-110.661713, 7125,-1664,  32.298981, RA: Maintain vertical Speed; Crossing Maintain
  32.298615,-110.662097, 7100,-1344,  32.298615, RA: Maintain vertical Speed; Crossing Maintain
  32.297989,-110.662873, 7075,-1280,  32.297989, RA: Maintain vertical Speed; Crossing Maintain
  32.297989,-110.662873, 7075,-1536,  32.297989, RA: Maintain vertical Speed; Crossing Maintain
  32.297699,-110.663251, 7075,-1280,  32.297699, RA: Maintain vertical Speed; Crossing Maintain
  32.297198,-110.663882, 7050,-1088,  32.297198, RA: Maintain vertical Speed; Crossing Maintain
  32.296326,-110.664954, 7025, -640,  32.296326, RA: Maintain vertical Speed; Crossing Maintain
  32.295639,-110.665778, 7025, -448,  32.295639, RA: Maintain vertical Speed; Crossing Maintain
  32.295639,-110.665778, 7025, -576,  32.295639, RA: Climb; Climb NOW
  32.294963,-110.666685, 7000, -512,  32.294963, RA: Climb; Climb NOW
  32.294405,-110.667413, 7000, -704,  32.294405, RA: Climb; Climb NOW
  32.294079,-110.667862, 7000, -512,  32.294079, RA: Climb; Climb NOW
  32.293808,-110.668195, 6975, -512,  32.293808, RA: Climb; Climb NOW
  32.293808,-110.668195, 6975, -704,  32.293808, RA: Climb; Climb NOW
  32.293334,-110.668815, 6975, -768,  32.293334, RA: Climb; Climb NOW
  32.292822,-110.669543, 6950, -832,  32.292822, Clear of Conflict
  32.290215,-110.673803, 6825,-1344,  32.290215, Clear of Conflict
  32.288269,-110.677917, 6750,-1088,  32.288269, Clear of Conflict
  32.286863,-110.683332, 6675, -448,  32.286863, Clear of Conflict
  32.286530,-110.685004, 6675, -704,  32.286530, RA: Climb
  32.286491,-110.685462, 6650, -704,  32.286491, RA: Climb
  32.286392,-110.685883, 6650, -960,  32.286392, RA: Climb
  32.286346,-110.686432, 6650, -704,  32.286346, RA: Climb
  32.286346,-110.686432, 6650, -512,  32.286346, RA: Climb
  32.286211,-110.687256, 6625, -512,  32.286211, RA: Climb
  32.286209,-110.687695, 6625,-1344,  32.286209, RA: Climb
  32.286165,-110.688153, 6600, -960,  32.286165, RA: Climb
  32.286118,-110.688489, 6600, -960,  32.286118, RA: Climb
  32.286072,-110.688881, 6600, -768,  32.286072, RA: Climb
  32.286072,-110.689343, 6600, -896,  32.286072, RA: Climb
  32.286025,-110.690171, 6575, -832,  32.286025, RA: Climb
  32.286026,-110.691156, 6575, -704,  32.286026, RA: Climb
  32.285979,-110.691572, 6575, -512,  32.285979, RA: Climb
  32.285979,-110.692469, 6550,-1024,  32.285979, RA: Climb
  32.285979,-110.694262, 6550, -192,  32.285979, RA: Climb
